0|0|Office|"Rrrrring rrrrring. An annoying ringing jolts you from a pleasant daydream. Who could be calling? You're in your office, sitting at your run-down old desk ... being a private investigator just doesn't seem pay much these days. At least, not since the Veil ripped open 4 years ago and magic returned to the world. Who wants to spend money on a PI when you can find a locator spell on the internet for free? Maybe it's time to close up shop and... Oh yeah, the phone is still ringing - maybe you should answer it? 

You answer the phone. The caller is a well-known professor of demonology at the city college. Cool, you've seen her on TV. Apparently her graduate assistant has been missing for several days, and all of her demonic contacts are 'suspiciously tight-lipped' on the subject. She offers to pay your weekly rate of 1000 gold to have you track down her wayward student. Jackpot! The last place she saw the guy was at a bar just a couple blocks away from your office. That's probably a good place to start."
0|1|Search tutorial|You're in the hallway outside your office. When you walk over a particular spot on the carpet, you feel a bump. Is there something under there?
0|2|Interrogate tutorial|Still in the hallway. How have you never noticed before how long this hallway is? It feels like you've been in here forever, and you can see that you've only covered about two-thirds of the distance. Uh oh, there's your landlord Fyodor! He threatened to cancel your lease if you're late on your rent again... And oh no, he saw you! Maybe you can distract him - ask him some questions, see if you can get him talking.
0|3|Combat tutorial|There's the door to the street! Small problem though. There's an eight-foot tall wyvern blocking the door and he looks grumpy. He looks your way and snarls. I guess it's time for a fight!
0|4|East Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. A few groups of young women weave in and out of the shops, giggling conspiratorially among themselves over their latest purchases. 
-7|4|West Maple & Red Alley|The intersection of Maple Street and Red Alley
-6|4|West Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. A few groups of young women weave in and out of the shops, giggling conspiratorially among themselves over their latest purchases.
-5|4|West Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. A few groups of young women weave in and out of the shops, giggling conspiratorially among themselves over their latest purchases.
-4|4|West Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. A few groups of moms and their tots weave in and out of the shops, carrying bags full of magical toys.
-3|4|West Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. A few groups of moms and their tots weave in and out of the shops, carrying bags full of magical toys.
-2|4|Maple & Main|Running north is Main Street, with its crowds of people, narrow walkways, and many street vendors hawking their wares. To the east and west you see the more respectable stores of Maple Street. 
-1|4|East Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. A few groups of teens weave in and out of the shops, showing off their latest purchases.
0|4|East Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. A few groups of teens weave in and out of the shops, showing off their latest purchases.
1|4|East Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. Old ladies weave in and out of the shops, searching for the latest trends.
2|4|East Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. Old ladies weave in and out of the shops, searching for the latest trends.
3|4|East Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. Students weave in and out of the shops, carrying loads of magical books.
4|4|East Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. Students weave in and out of the shops, carrying loads of magical books.
5|4|East Maple Street|A line of storefronts stretches along this street. Years ago they may have sold ladies' hats, hardware, or any number of mundane objects, but recently they've mostly turned over to alchemical supplies, crystals, enchanted amulets, and other magical accessories. Ads for discounted accessories can be found everywhere.
